MSN,YYYYMM,Value,Column_Order,Consumption,Unit,Production
RETCBUS,200901,0.42637300491333,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,200902,0.378565013408661,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,200903,0.430087000131607,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,200904,0.435012012720108,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,200905,0.460473001003265,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,200906,0.457323014736176,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,200907,0.455899000167847,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,200908,0.449685990810394,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,200909,0.420235991477966,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,200910,0.451476991176605,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,200911,0.451440989971161,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,200912,0.475975006818771,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201001,0.480067014694214,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201002,0.443253993988037,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201003,0.490357011556625,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201004,0.479211986064911,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201005,0.505945026874542,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201006,0.519900977611542,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201007,0.509024977684021,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201008,0.495510995388031,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201009,0.47283598780632,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201010,0.486337006092072,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201011,0.49398198723793,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201012,0.519257009029388,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201101,0.515052974224091,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201102,0.483761012554169,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201103,0.542539000511169,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201104,0.529311001300812,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201105,0.547847986221313,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201106,0.553297996520996,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201107,0.539749026298523,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201108,0.533536970615387,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
RETCBUS,201109,0.493387997150421,11,Total Renewable Energy Consumption,Quadrillion Btu,NULL
