MSN,YYYYMM,Value,Column_Order,Production,Unit,Consumption
REPRBUS,200901,0.431010991334915,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,200902,0.386812001466751,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,200903,0.432103991508484,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,200904,0.431059002876282,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,200905,0.456230998039246,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,200906,0.455356001853943,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,200907,0.455962002277374,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,200908,0.449335008859634,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,200909,0.421927005052567,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,200910,0.450940012931824,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,200911,0.4565269947052,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,200912,0.481882005929947,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201001,0.489843994379044,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201002,0.449090003967285,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201003,0.499559998512268,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201004,0.482551991939545,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201005,0.507543981075287,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201006,0.517750024795532,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201007,0.508593022823334,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201008,0.497072994709015,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201009,0.476105004549026,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201010,0.48912501335144,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201011,0.500487983226776,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201012,0.524855017662048,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201101,0.53090900182724,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201102,0.490714997053146,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201103,0.553169012069702,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201104,0.538505971431732,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201105,0.554010987281799,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201106,0.553884983062744,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201107,0.549373984336853,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201108,0.534035980701447,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201109,0.500174999237061,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201110,0.517691016197205,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201111,0.528710007667542,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201112,0.552823007106781,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201201,0.539030015468597,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201202,0.494125008583069,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201203,0.541240990161896,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201204,0.519625008106232,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201205,0.546972990036011,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201206,0.528766989707947,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201207,0.520173013210297,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201208,0.513269007205963,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201209,0.475611001253128,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201210,0.49151998758316,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201211,0.489080995321274,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201212,0.527554988861084,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201301,0.542692005634308,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201302,0.487697005271912,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201303,0.541011989116669,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201304,0.551447987556458,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201305,0.578378021717072,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201306,0.563561022281647,3,Total Renewable Energy Production,Quadrillion Btu,NULL
REPRBUS,201307,0.572288990020752,3,Total Renewable Energy Production,Quadrillion Btu,NULL
